"","X","Date","Country","State","Case_Type","Cases","Difference","Prep_Flow_Runtime","Latest_Date","Lat","Long"
"156",85532,2020-02-01,"Malaysia","N/A","Active",8,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"157",85765,2020-02-02,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"158",85766,2020-02-02,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"159",85767,2020-02-02,"Malaysia","N/A","Confirmed",8,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"160",85768,2020-02-02,"Malaysia","N/A","Active",8,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"161",86277,2020-03-01,"Malaysia","N/A","Recovered",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"162",86278,2020-03-01,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"163",86279,2020-03-01,"Malaysia","N/A","Confirmed",29,4,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"164",86280,2020-03-01,"Malaysia","N/A","Active",11,4,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"165",86341,2020-01-26,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"166",86342,2020-01-26,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"167",86343,2020-01-26,"Malaysia","N/A","Confirmed",4,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"168",86344,2020-01-26,"Malaysia","N/A","Active",4,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"169",87053,2020-03-20,"Malaysia","N/A","Recovered",87,12,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"170",87054,2020-03-20,"Malaysia","N/A","Deaths",3,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"171",87055,2020-03-20,"Malaysia","N/A","Confirmed",1030,130,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"172",87056,2020-03-20,"Malaysia","N/A","Active",940,117,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"173",87297,2020-02-18,"Malaysia","N/A","Recovered",13,6,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"174",87298,2020-02-18,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"175",87299,2020-02-18,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"176",87300,2020-02-18,"Malaysia","N/A","Active",9,-6,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"177",88409,2020-02-28,"Malaysia","N/A","Recovered",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"178",88410,2020-02-28,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"179",88411,2020-02-28,"Malaysia","N/A","Confirmed",23,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"180",88412,2020-02-28,"Malaysia","N/A","Active",5,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"181",88505,2020-02-27,"Malaysia","N/A","Recovered",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"182",88506,2020-02-27,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"183",88507,2020-02-27,"Malaysia","N/A","Confirmed",23,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"184",88508,2020-02-27,"Malaysia","N/A","Active",5,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
